,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,texture,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_Weightloss_manure,co-response_group_disease_spread
SC34 1A,5.883,1.1,2020.0,4.9,89.0,315.0,53.0,80.0,73.0,29.8,1,18.0,1.368,0.165350003,3.7917651384106152,0.1894538545714285,0.56,4.0,0.102689098,0,1,22.0,0.0,5.0,0,0.235420686,32.02775014,0.038278049789819024,0.0715281162768183,0.1410412128842127,0.017957153435792732
SC34 1B,5.817,1.2,2340.0,4.4,122.0,325.0,68.0,74.0,66.0,40.5,1,22.0,1.2729,0.193915396,3.369767330062841,0.2773486437142857,0.06,4.0,0.116851059,0,1,22.0,0.0,5.0,0,0.377378305,46.25040159,0.047222764873920124,0.08179273068903571,0.1389593746978213,0.0257087496092879
SO52 1A,5.601,0.8,1200.0,6.6,88.0,200.0,39.0,32.0,59.0,17.1,1,30.75,1.5114,0.089457083,3.2249165337680834,0.1630535975714286,0.02,4.0,0.107239827,2,2,25.0,1224.0,4.0,0,0.194805968,13.09853158,0.0453898187818769,0.0747043635211397,0.13138444431042678,0.0221101992072094
SO52 2A,5.831,1.1,1900.0,1.4,93.0,305.0,83.0,64.0,63.0,22.3,1,18.75,1.3468,0.177873793,3.344416457693516,0.2080720229285714,0.22,5.0,0.124561271,2,2,25.0,1224.0,3.0,0,0.324213597,62.71272466,0.05311664813373901,0.0698438045159252,0.14358677877828438,0.027208178695989904
SO52 2B,5.829,1.2,2120.0,1.5,71.0,325.0,96.0,78.0,67.0,25.6,1,20.0,1.3731,0.180491303,3.873103930155216,0.2147438593571429,0.01,8.0,0.107777263,2,2,25.0,1224.0,3.0,0,0.255057588,70.46832617,0.04874874077419981,0.0767606401034636,0.13516677601183089,0.023511834742867
SO52 2C,5.855,1.3,2360.0,1.6,59.0,385.0,123.0,89.0,78.0,26.2,1,23.0,1.25817,0.189981714,4.381549445523001,0.2659771733214286,0.17,1.0,0.115997053,2,2,25.0,1224.0,3.0,0,0.29702958,69.06517654,0.046615413881981496,0.08785896384968091,0.1431673430874127,0.0283475418445225
SC05 1A,5.478,0.7,1080.0,11.1,120.0,200.0,55.0,34.0,74.0,17.1,1,20.25,1.3042,0.108251922,3.875228981284639,0.5722473481071428,0.54,5.0,0.107277947,0,2,20.0,1185.0,4.0,0,0.138187864,52.15319075,0.05572169274907798,0.1304031655428506,0.09923883694987043,0.031931717746116195
SC52 1A,6.556,0.8,1220.0,5.9,88.0,290.0,115.0,64.0,78.0,15.8,1,24.25,1.32785,0.123414421,3.22480894543437,0.0126331849999999,0.36,4.0,0.109014848,0,3,27.0,5275.0,2.0,0,0.221984187,38.34681398,0.04448523799593283,0.08428396443617961,0.13952726606373209,0.017696792256538602
SC52 1B,6.258,0.8,1310.0,5.7,89.0,240.0,93.0,56.0,77.0,17.6,1,26.75,1.1757,0.113069101,4.585530709106829,0.1163170694642857,0.0,6.0,0.106321787,0,3,27.0,5275.0,2.0,0,0.224034177,51.47798238,0.03496806541302545,0.07845337453527101,0.132177221032661,0.022396437930278998
SC52 1C,6.073,0.8,1140.0,4.6,61.0,220.0,74.0,46.0,70.0,16.8,1,25.75,1.47433,0.119933211,3.756177829843003,0.2401925401428571,0.02,6.0,0.113803332,0,3,27.0,5275.0,2.0,0,0.173839269,37.41953777,0.04845957948150738,0.0635547174078893,0.1328640694969783,0.021091036329862946
SC52 2A,6.231,0.9,1350.0,1.7,51.0,250.0,93.0,55.0,71.0,20.9,1,25.0,1.4491,0.125549026,3.5772480735219254,0.1348953843928571,0.07,5.0,0.09512884,0,3,27.0,5275.0,2.0,0,0.212234656,47.24933086,0.04013227718870821,0.07994557594416112,0.10980509273560679,0.028836907625471298
SC52 2B,6.22,0.9,1320.0,2.9,39.0,270.0,86.0,57.0,72.0,19.8,1,26.5,1.2985,0.121677201,2.456810122920176,0.0945348603571428,0.08,5.0,0.102556371,0,3,27.0,5275.0,2.0,0,0.342572171,59.4089071,0.046556022458168374,0.0749828032911035,0.1374787019176213,0.0302016689975345
SC52 2C,6.308,0.8,1250.0,2.7,52.0,220.0,76.0,55.0,76.0,18.3,1,37.25,1.4432,0.118026587,3.456265385043937,0.1078059432142857,0.17,6.0,0.10312651,0,3,27.0,5275.0,2.0,0,0.210405707,50.23696034,0.04174925557987981,0.0824342857223208,0.1116713082928709,0.0286535007132131
SC05 1B,4.7,0.7,1270.0,20.3,139.0,200.0,123.0,43.0,74.0,18.5,1,18.75,1.4258,0.075671771,3.0394264842028984,0.2155393105,0.09,4.0,0.097152548,0,2,20.0,1185.0,4.0,0,0.112998187,62.91394948,0.058775073637453906,0.06580433267462396,0.09840718979450687,0.020958766235693198
SC05 2A,6.05,0.8,1230.0,6.0,46.0,220.0,69.0,40.0,75.0,13.5,1,26.5,1.3844,0.078416613,2.8524533487497634,0.2861708890714285,0.14,7.0,0.095533983,0,2,20.0,1185.0,2.0,0,0.178547304,39.62360967,0.05049118211717253,0.0860014331897084,0.1152637295512094,0.020863767405499802
SC05 2B,5.116,0.7,1180.0,7.3,60.0,180.0,44.0,31.0,61.0,13.7,1,19.75,1.3577,0.081394049,3.1286365176723554,0.3261515411071429,0.56,6.0,0.111837043,0,2,20.0,1185.0,2.0,0,0.176905614,63.36155635,0.060917215066293016,0.06833031356715524,0.09492138708694259,0.013777854652395949
SC05 2C,4.984,0.7,1080.0,9.2,34.0,160.0,37.0,31.0,61.0,12.5,1,19.25,1.29136,0.060857726,3.2193930183040926,0.6489802385714285,0.12,6.0,0.122607972,0,2,20.0,1185.0,2.0,0,0.122056353,162.8483441,0.08209864229524595,0.055701710510971704,0.0819471344796322,0.011154125072011231
SO01 1B,5.242,0.8,1630.0,2.7,32.0,260.0,71.0,46.0,65.0,23.8,1,28.75,1.272,0.123150086,2.340175017210586,0.1446285693214285,0.08,7.0,0.104170691,1,4,30.0,2130.0,4.0,4,0.151277901,34.5913546,0.04950409792338895,0.0846130196874361,0.11100918788898412,0.018556470053104502
SO01 1C,5.747,0.9,1340.0,3.2,32.0,240.0,83.0,56.0,68.0,19.8,1,20.25,1.4567,0.102725611,4.019392514771723,0.2618881746071428,0.07,3.0,0.095226138,1,4,30.0,2130.0,4.0,4,0.159814895,46.51069117,0.064549543977118,0.08332341058089829,0.112198212193258,0.0305994232070285
SC01 1A,5.925,0.7,1230.0,1.1,25.0,170.0,54.0,28.0,61.0,17.8,1,21.75,1.32137,0.013483636,3.599708316693119,0.2537893369285714,0.01,5.0,0.139548313,0,2,22.0,0.0,2.0,0,0.169599186,16.5749177,0.050932518806697934,0.060366759028426906,0.1360893977942197,0.0139596042426441
SC01 1B,5.85,0.8,1150.0,1.0,44.0,210.0,72.0,34.0,65.0,17.8,1,19.75,1.30733,0.128282342,2.477247035533092,0.2229633019999999,0.02,5.0,0.106001575,0,2,22.0,0.0,2.0,0,0.177630953,21.44173314,0.0492875194126215,0.0748944543942267,0.12072238400624599,0.018886099826519998
SO03 1A,6.141,0.7,1010.0,0.6,74.0,170.0,114.0,40.0,60.0,11.3,1,20.75,1.4775,0.099671787,4.099307963251707,0.26168575825,0.02,6.0,0.134218405,1,2,22.0,1420.0,7.0,1,0.216831551,47.94049495,0.0370050685971465,0.0755113131387059,0.1450462221055927,0.01493612886922404
SO03 1B,6.488,0.6,950.0,0.7,74.0,150.0,111.0,44.0,64.0,12.1,1,20.0,1.47677,0.100611204,3.049398214849941,0.34057069775,0.01,6.0,0.105436111,1,2,22.0,1420.0,7.0,1,0.186603408,50.33139164,0.0392131597748242,0.0809500417076241,0.10825831047339601,0.0244138046204463
SO03 1C,6.069,0.7,1140.0,1.3,55.0,200.0,110.0,40.0,63.0,11.9,1,21.25,1.4332,0.099058512,4.199991631046483,0.5786601223571429,0.11,7.0,0.096583899,1,2,22.0,1420.0,7.0,1,0.163687002,51.22499266,0.055956744216328305,0.08897237965521601,0.11086264317939268,0.0233811103313764
SC03 1B,7.043,0.7,1130.0,2.3,94.0,210.0,78.0,47.0,77.0,14.2,1,25.0,1.3968,0.094196993,3.8465233104283567,0.1013167675,0.4,5.0,0.112003021,0,2,22.0,2130.0,5.0,1,0.116493048,56.51887105,0.033326352885254804,0.0730004166868818,0.12255103173431431,0.0186636251077324
