,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_disease_spread,co-response_group_Weightloss_manure
SC52 2C,6.308,0.8,1250.0,2.7,52.0,220.0,76.0,55.0,76.0,18.3,37.25,1.4432,0.118026587,3.456265385043937,0.1078059432142857,0.17,6.0,0.10312651,1,2,27.0,5275.0,2.0,1,0.210405707,50.23696034,0.016667703262073702,0.0687886348960631,0.051567766888244604,0.004375165595254082
SC05 1B,4.7,0.7,1270.0,20.3,139.0,200.0,123.0,43.0,74.0,18.5,18.75,1.4258,0.075671771,3.0394264842028984,0.2155393105,0.09,4.0,0.097152548,1,0,20.0,1185.0,4.0,1,0.112998187,62.91394948,0.008758604208348826,0.046435797743826904,0.0562225943960764,0.0033078815389920905
SC05 2A,6.05,0.8,1230.0,6.0,46.0,220.0,69.0,40.0,75.0,13.5,26.5,1.3844,0.078416613,2.8524533487497634,0.2861708890714285,0.14,7.0,0.095533983,1,0,20.0,1185.0,2.0,1,0.178547304,39.62360967,0.0164402342855899,0.0658634927417217,0.050850864435644995,0.0052043993500442
SC05 2B,5.116,0.7,1180.0,7.3,60.0,180.0,44.0,31.0,61.0,13.7,19.75,1.3577,0.081394049,3.1286365176723554,0.3261515411071429,0.56,6.0,0.111837043,1,0,20.0,1185.0,2.0,1,0.176905614,63.36155635,0.009703167023166932,0.032776726503923395,0.04824650176865421,0.004327377604498913
SC05 2C,4.984,0.7,1080.0,9.2,34.0,160.0,37.0,31.0,61.0,12.5,19.25,1.29136,0.060857726,3.2193930183040926,0.6489802385714285,0.12,6.0,0.122607972,1,0,20.0,1185.0,2.0,1,0.122056353,162.8483441,0.00808528253387902,0.028610240831876903,0.043998798670793295,0.003701080981786452
SO01 1B,5.242,0.8,1630.0,2.7,32.0,260.0,71.0,46.0,65.0,23.8,28.75,1.272,0.123150086,2.340175017210586,0.1446285693214285,0.08,7.0,0.104170691,0,3,30.0,2130.0,4.0,3,0.151277901,34.5913546,0.0204780310887536,0.05989635416986681,0.049224247114166605,0.0063677779666382
SO01 1C,5.747,0.9,1340.0,3.2,32.0,240.0,83.0,56.0,68.0,19.8,20.25,1.4567,0.102725611,4.019392514771723,0.2618881746071428,0.07,3.0,0.095226138,0,3,30.0,2130.0,4.0,3,0.159814895,46.51069117,0.025719154683105,0.063569609926,0.0651418723682778,0.0052834276919373
SC01 1A,5.925,0.7,1230.0,1.1,25.0,170.0,54.0,28.0,61.0,17.8,21.75,1.32137,0.013483636,3.599708316693119,0.2537893369285714,0.01,5.0,0.139548313,1,0,22.0,0.0,2.0,1,0.169599186,16.5749177,0.0156085999191132,0.0480458382323931,0.04656603361361499,0.0290411754695222
SC01 1B,5.85,0.8,1150.0,1.0,44.0,210.0,72.0,34.0,65.0,17.8,19.75,1.30733,0.128282342,2.477247035533092,0.2229633019999999,0.02,5.0,0.106001575,1,0,22.0,0.0,2.0,1,0.177630953,21.44173314,0.013868107114776698,0.0655982176676736,0.0589060543609998,0.0081696659439849
SO03 1A,6.141,0.7,1010.0,0.6,74.0,170.0,114.0,40.0,60.0,11.3,20.75,1.4775,0.099671787,4.099307963251707,0.26168575825,0.02,6.0,0.134218405,0,0,22.0,1420.0,7.0,0,0.216831551,47.94049495,0.0165295358010991,0.0588632345706457,0.0422716136801969,0.023004056428596098
SO03 1B,6.488,0.6,950.0,0.7,74.0,150.0,111.0,44.0,64.0,12.1,20.0,1.47677,0.100611204,3.049398214849941,0.34057069775,0.01,6.0,0.105436111,0,0,22.0,1420.0,7.0,0,0.186603408,50.33139164,0.020260114399220697,0.060228589094529696,0.049854501013583,0.0075253196606159
SO03 1C,6.069,0.7,1140.0,1.3,55.0,200.0,110.0,40.0,63.0,11.9,21.25,1.4332,0.099058512,4.199991631046483,0.5786601223571429,0.11,7.0,0.096583899,0,0,22.0,1420.0,7.0,0,0.163687002,51.22499266,0.0288076751980815,0.06029260774470439,0.0432165882694745,0.009071851539461401
SC03 1B,7.043,0.7,1130.0,2.3,94.0,210.0,78.0,47.0,77.0,14.2,25.0,1.3968,0.094196993,3.8465233104283567,0.1013167675,0.4,5.0,0.112003021,1,0,22.0,2130.0,5.0,0,0.116493048,56.51887105,0.015479585987685,0.0647412723464788,0.0420360058447288,0.0032838156168171003
